naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Prunus avium 'Early Rivers',https: / www.ebben.nl / nl / treeebb / praerive-prunus-avium-early-rivers,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,6 - 10 m,6 - 10 m,gesloten,breed eirond,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,voedselbos / ecobeplanting,park / groenstrook / grote tuin / begraafplaats / landschap,geen,,
Prunus avium 'Hedelfinger Riesenkirsche',https: / www.ebben.nl / nl / treeebb / prahries-prunus-avium-hedelfinger-riesenkirsche,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,6 - 10 m,6 - 10 m,halfopen,breed ovaal,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,zavel / zware klei / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind / verdraagt zeewind,neutraal / basisch,voedselbos / ecobeplanting,park / daktuin / grote tuin / begraafplaats / landschap / kustgebied,geen,,
Prunus avium 'Kordia',https: / www.ebben.nl / nl / treeebb / prakordi-prunus-avium-kordia,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,6 - 10 m,6 - 12 m,halfopen,breed ovaal,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,neutraal / basisch,voedselbos / ecobeplanting,park / groenstrook / daktuin / grote tuin / begraafplaats / landschap,geen,,
Prunus avium 'Landscape Bloom',https: / www.ebben.nl / nl / treeebb / pralbloo-prunus-avium-landscape-bloom,hoogstam bomen / meerstammige bomen / schaduwbomen,,,,10 - 15 m,12 - 18 m,gesloten,piramidaal,4A - 8A,bijen / vlinders / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt luchtverontreiniging,zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting,"park / groenstrook / grote tuin / verkeer, industrie / landschap / ecologische zone",geen,,
Prunus avium 'Plena',https: / www.ebben.nl / nl / treeebb / praplena-prunus-avium-plena,hoogstam bomen / meerstammige bomen,,,,8 - 10 m,8 - 12 m,halfopen,rond,4A - 8B,,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,landschappelijke beplanting,"straat / laan / plein / parkeerplaats / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone",geen / open,,
Prunus armeniaca,https: / www.ebben.nl / nl / treeebb / prarmeni-prunus-armeniaca,hoogstam bomen / halfstam bomen / beveerde bomen / karakteristieke bomen / fruitbomen,,meerstammig parasol,lei,5 - 8 m,5 - 8 m,halfopen,rond,6A - 7B,bijen / vlinders / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte,löss / zavel / veen / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,voedselbos / stedelijke beplanting,park / groenstrook / grote tuin,geen,,
Prunus avium 'Udense Spaanse',https: / www.ebben.nl / nl / treeebb / prauspaa-prunus-avium-udense-spaanse,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,6 - 10 m,6 - 10 m,halfopen,breed ovaal,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind / verdraagt zeewind,neutraal / basisch,voedselbos / ecobeplanting,park / groenstrook / daktuin / grote tuin / begraafplaats / landschap / kustgebied,geen,,
Prunus avium 'Van',https: / www.ebben.nl / nl / treeebb / pravan-prunus-avium-van,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,5 - 8 m,5 - 8 m,halfopen,breed ovaal,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,neutraal / basisch,voedselbos / ecobeplanting,park / daktuin / grote tuin / begraafplaats / landschap,geen,,
Prunus avium,https: / www.ebben.nl / nl / treeebb / pravium-prunus-avium,hoogstam bomen / halfstam bomen / beveerde bomen / meerstammige bomen / schaduwbomen / karakteristieke bomen / fruitbomen / bosplantsoen / solitair heesters,,meerstammig parasol,,10 - 15 m,15 - 25 m,halfopen,rond / breed eirond,4A - 9B,bijen / vlinders / vogels / kleine zoogdieren / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,voedselbos / ecobeplanting / landschappelijke beplanting,"park / groenstrook / grote tuin / verkeer, industrie / landschap / ecologische zone",geen,1a,inheems
Prunus avium 'Varikse Zwarte',https: / www.ebben.nl / nl / treeebb / pravzwar-prunus-avium-varikse-zwarte,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,6 - 10 m,6 - 10 m,halfopen,breed ovaal,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,,zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,neutraal / basisch,voedselbos / ecobeplanting,park / daktuin / grote tuin / begraafplaats / landschap,geen,,
Prunus cerasifera,https: / www.ebben.nl / nl / treeebb / prcerasi-prunus-cerasifera,solitair heesters,,,,4 - 6 m,5 - 8 m,gesloten,breed eirond,5A - 7B,bijen / nectarwaarde 5 / pollenwaarde 5,vochtig / nat,verdraagt droogte / verdraagt hitte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,klimaatbeplanting / voedselbos / ecobeplanting / landschappelijke beplanting / stedelijke beplanting,park / groenstrook / grote tuin / landschap / ecologische zone,geen / open / dicht,2b,exoot
Prunus cerasus,https: / www.ebben.nl / nl / treeebb / prcerasu-prunus-cerasus,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,meerstammig parasol,,8 - 12 m,6 - 10 m,halfopen,afgeplat rond,5B - 8B,bijen / vlinders / vogels / mensen / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt matige wind,neutraal / basisch,voedselbos / ecobeplanting / stedelijke beplanting,park / groenstrook / daktuin / grote tuin / begraafplaats / landschap / ecologische zone,geen,,
Prunus x cistena,https: / www.ebben.nl / nl / treeebb / prcisten-prunus-x-cistena,solitair heesters,,,,2 - 3 m,2 - 3 m,halfopen,breed vaas,3B - 7B,,vochtig,verdraagt luchtverontreiniging,zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Prunus cerasifera 'Nigra',https: / www.ebben.nl / nl / treeebb / prcnigra-prunus-cerasifera-nigra,hoogstam bomen / meerstammige bomen / solitair heesters,,blok / piramide / kegel / meerstammig parasol / lei / leischerm,,4 - 7 m,7 - 8 m,halfopen,rond,5A - 9B,bijen / vogels / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,neutraal / basisch,voedselbos / ecobeplanting / stedelijke beplanting,straat / laan / plein / park / groenstrook / grote tuin / begraafplaats,geen / open,,
Prunus cerasifera 'Pissardii',https: / www.ebben.nl / nl / treeebb / prcpissa-prunus-cerasifera-pissardii,hoogstam bomen / meerstammige bomen,,,,6 - 10 m,5 - 8 m,gesloten,ovaal / eirond / smal eirond,5A - 8B,bijen / nectarwaarde 5 / pollenwaarde 5,vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,voedselbos / ecobeplanting / stedelijke beplanting,straat / park / groenstrook / grote tuin,geen,,
Prunus cerasifera 'Woodii',https: / www.ebben.nl / nl / treeebb / prcwoodi-prunus-cerasifera-woodii,hoogstam bomen / meerstammige bomen,,blok / piramide / kegel / meerstammig parasol / lei / leischerm,,3 - 5 m,5 - 7 m,gesloten,rond,5A - 9B,bijen / vogels / nectarwaarde 5 / pollenwaarde 5,droog / vochtig,verdraagt droogte,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,neutraal / basisch,voedselbos / ecobeplanting / stedelijke beplanting,straat / laan / plein / park / groenstrook / grote tuin / kleine tuin / begraafplaats,geen / open,,
Prunus domestica 'Hauszwetsche',https: / www.ebben.nl / nl / treeebb / prdhausz-prunus-domestica-hauszwetsche,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,4 - 6 m,4 - 6 m,halfopen,rond,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,vochtig,,lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,voedselbos / ecobeplanting,park / daktuin / grote tuin / kleine tuin / patiotuin / landschap,geen,,
Prunus domestica 'Mirabelle de Nancy',https: / www.ebben.nl / nl / treeebb / prdmnanc-prunus-domestica-mirabelle-de-nancy,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,4 - 6 m,4 - 6 m,halfopen,rond,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,voedselbos / ecobeplanting,park / daktuin / grote tuin / kleine tuin / patiotuin / landschap,geen,,
Prunus domestica,https: / www.ebben.nl / nl / treeebb / prdomes-prunus-domestica,hoogstam bomen / halfstam bomen / karakteristieke bomen / fruitbomen,,meerstammig parasol,,4 - 6 m,4 - 6 m,halfopen,rond,6A - 8B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 5 / pollenwaarde 5,vochtig,,lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,ecobeplanting,park / daktuin / grote tuin / kleine tuin / patiotuin / landschap,geen,,
Prunus dulcis 'Robijn',https: / www.ebben.nl / nl / treeebb / prdrobij-prunus-dulcis-robijn,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen,,,,4 - 6 m,4 - 6 m,halfopen,ovaal,7A - 9B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,voedselbos / ecobeplanting,park / grote tuin / kleine tuin,geen,,
Prunus dulcis,https: / www.ebben.nl / nl / treeebb / prdulcis-prunus-dulcis,hoogstam bomen / halfstam bomen / meerstammige bomen / karakteristieke bomen / fruitbomen / solitair heesters,,meerstammig parasol,,4 - 6 m,4 - 6 m,halfopen,ovaal / breed ovaal,7A - 9B,bijen / vlinders / vogels / kleine zoogdieren / mensen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,voedselbos / ecobeplanting,grote tuin / patiotuin,geen,,
Prunus x eminens 'Umbraculifera',https: / www.ebben.nl / nl / treeebb / preumbra-prunus-x-eminens-umbraculifera,hoogstam bomen / halfstam bomen,,bol,,1 - 3 m,3 - 5 m,gesloten,rond,4A - 6B,,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt matige wind,zuur / neutraal,,straat / plein / park / groenstrook / grote tuin / kleine tuin,geen / open,,
Prunus x gondouinii 'Schnee',https: / www.ebben.nl / nl / treeebb / prgschne-prunus-x-gondouinii-schnee,hoogstam bomen,,,,5 - 6 m,5 - 6 m,gesloten,smal vaas,4A - 9B,bijen,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt matige wind,zuur / neutraal / basisch,ecobeplanting,"laan / plein / park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / ecologische zone",geen,,
Prunus laurocerasus 'Anbri',https: / www.ebben.nl / nl / treeebb / prlanbri-prunus-laurocerasus-anbri,solitair heesters,onderbeplanting,,,0 - 1 m,1 - 2 m,gesloten,,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,zuur / neutraal,,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Prunus laurocerasus 'Caucasica',https: / www.ebben.nl / nl / treeebb / prlcauca-prunus-laurocerasus-caucasica,hoogstam bomen / bosplantsoen / solitair heesters,onderbeplanting,leischerm,,2 - 4 m,2 - 3 m,gesloten,vaas,7A - 9A,bijen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,groenstrook / daktuin / grote tuin / begraafplaats,geen,,
Prunus laurocerasus 'Herbergii',https: / www.ebben.nl / nl / treeebb / prlherbe-prunus-laurocerasus-herbergii,bosplantsoen,onderbeplanting,,,2 - 3 m,2 - 4 m,gesloten,breed vaas,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,park / groenstrook / grote tuin,geen,,
Prunus laurocerasus 'Mischeana',https: / www.ebben.nl / nl / treeebb / prlmisch-prunus-laurocerasus-mischeana,solitair heesters,onderbeplanting,,,1 - 2 m,1 - 2 m,,,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal,schaduwtolerant,park / groenstrook / grote tuin,geen,,
Prunus laurocerasus 'Otto Luyken',https: / www.ebben.nl / nl / treeebb / prloluyk-prunus-laurocerasus-otto-luyken,solitair heesters,onderbeplanting / bodembedekker,,,"1,2 - 1,5 m","0,9 - 1 m",gesloten,vaas,6B - 8B,bijen / vogels / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,ecobeplanting / schaduwtolerant,straat / plein / park / groenstrook / grote tuin / kleine tuin / begraafplaats / kustgebied,geen,,
Prunus laurocerasus 'Polster',https: / www.ebben.nl / nl / treeebb / prlpolst-prunus-laurocerasus-polster,solitair heesters,onderbeplanting,,,1 - 1 m,"0,6 - 0,8 m",,,7A - 8B,bijen / vogels / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,schaduwtolerant,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Prunus laurocerasus 'Reynvaanii',https: / www.ebben.nl / nl / treeebb / prlreynv-prunus-laurocerasus-reynvaanii,solitair heesters,onderbeplanting,,,2 - 4 m,2 - 4 m,gesloten,vaas,6A - 8B,bijen / vogels / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,straat / park / grote tuin / kleine tuin / kustgebied,geen,,
Prunus laurocerasus 'Rotundifolia',https: / www.ebben.nl / nl / treeebb / prlrotun-prunus-laurocerasus-rotundifolia,hoogstam bomen / solitair heesters,,meerstammig parasol,haagelement / leischerm,3 - 4 m,3 - 4 m,gesloten,breed eirond,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselrijk,verdraagt wind,zuur / neutraal / basisch,schaduwtolerant,straat / laan / plein / park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,open,,
Prunus laurocerasus 'Schipkaensis',https: / www.ebben.nl / nl / treeebb / prlschip-prunus-laurocerasus-schipkaensis,solitair heesters,onderbeplanting,,,2 - 5 m,2 - 3 m,,,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,voedselrijk,verdraagt matige wind / verdraagt wind,zuur / neutraal,schaduwtolerant,park / groenstrook / grote tuin,geen,,
Prunus lusitanica,https: / www.ebben.nl / nl / treeebb / prlusita-prunus-lusitanica,hoogstam bomen / halfstam bomen / beveerde bomen / solitair heesters,,bijenkorf / bol / meerstammig parasol,bijenkorf / bol / ei / cilinder / blok / zuil / kegel / haagelement / leischerm,3 - 5 m,"4,5 - 6 m",gesloten,rond,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 3,droog / vochtig,verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,stedelijke beplanting,"park / grote tuin / kleine tuin / patiotuin / verkeer, industrie / kustgebied",,,
Prunus laurocerasus 'Van Nes',https: / www.ebben.nl / nl / treeebb / prlvnes-prunus-laurocerasus-van-nes,solitair heesters,onderbeplanting / bodembedekker,,,"2 - 2,5 m","1,5 - 1,75 m",,,6B - 8B,bijen / vogels / nectarwaarde 3 / pollenwaarde 3,vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw / schaduw,matig voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,schaduwtolerant,"park / groenstrook / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Prunus maackii,https: / www.ebben.nl / nl / treeebb / prmaacki-prunus-maackii,hoogstam bomen / meerstammige bomen / schaduwbomen / solitair heesters,,,,6 - 8 m,8 - 15 m,gesloten,eirond,3A - 8B,,droog / vochtig,verdraagt strooizout / verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal / basisch,ecobeplanting / landschappelijke beplanting,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone",geen / open,,
Prunus maackii 'Amber Beauty',https: / www.ebben.nl / nl / treeebb / prmabeau-prunus-maackii-amber-beauty,hoogstam bomen / meerstammige bomen / schaduwbomen / solitair heesters,,meerstammig parasol,,8 - 10 m,8 - 12 m,halfopen,eirond,3A - 7B,bijen / vogels,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie",geen / open,,
