naam,wetenschappelijke_naam,inheems,standplaats_licht,vocht,bodem,ellenberg_l,ellenberg_l_min,ellenberg_l_max,ellenberg_f,ellenberg_f_min,ellenberg_f_max,ellenberg_t,ellenberg_t_min,ellenberg_t_max,ellenberg_n,ellenberg_n_min,ellenberg_n_max,ellenberg_r,ellenberg_r_min,ellenberg_r_max,ellenberg_s,ellenberg_s_min,ellenberg_s_max,hoogte,breedte,winterhardheidszone,grondsoorten
,Aira elegantissima,,zon,zeer droog / droog,,8.166666666666666,7.0,9.0,2.5,2.0,4.0,8.625,6.0,11.0,1.3333333333333333,1.0,2.0,3.6666666666666665,2.0,6.0,0.0,0.0,0.0,,,,
Vroege haver,Aira praecox,ja,zon,zeer droog / droog,,8.6,8.0,9.0,2.1666666666666665,1.0,3.0,6.8,6.0,8.0,1.4,1.0,2.0,2.6,2.0,4.0,0.0,0.0,0.0,,,,
Zenegroen (G),Ajuga,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkerzenegroen,Ajuga chamaepitys,ja,zon,zeer droog / droog / vochtig,,7.527777777777778,7.0,9.0,3.638888888888889,1.0,5.5,7.652777777777778,5.75,11.0,3.125,1.0,6.0,8.5,8.0,9.0,0.0,0.0,0.0,,,,
Harig zenegroen,Ajuga genevensis,,zon,droog / vochtig,,7.785714285714286,7.0,8.0,3.71875,3.0,4.75,5.583333333333333,4.0,7.0,2.3333333333333335,2.0,3.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Piramidezenegroen,Ajuga pyramidalis,ja,zon,vochtig,,7.333333333333333,7.0,9.0,5.142857142857143,5.0,6.0,4.0,3.0,6.0,1.4444444444444449,1.0,3.0,1.9444444444444449,1.0,5.0,0.0,0.0,0.0,,,,
Kruipend zenegroen,Ajuga reptans,ja,halfschaduw / zon,vochtig / nat / zeer nat,,6.055555555555555,5.0,9.0,6.2,5.0,8.0,5.625,4.75,8.0,5.3125,1.0,6.0,5.5,1.0,7.0,0.0,0.0,0.0,,,,
Purperzenegroen,Ajuga reptans 'Atropurpurea',,,,,,,,,,,,,,,,,,,,,,,,,,
,Akebia,,,,,,,,,,,,,,,,,,,,,,,,,,
,Akebia quinata,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcea (G),Alcea,,,,,,,,,,,,,,,,,,,,,,,,,,
Stokroos,Alcea rosea,nee,zon,droog / vochtig,,8.0,7.0,9.0,4.333333333333333,3.0,6.0,7.125,6.0,8.0,6.5,6.0,7.0,6.5,6.0,7.0,0.0,0.0,0.0,,,,
,Alcea rosea subsp. ficifolia,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrouwenmantel (G),Alchemilla,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitslobbige vrouwenmantel,Alchemilla acutiloba,ja,halfschaduw / zon,droog / vochtig / nat,,6.8,6.0,8.0,5.5,4.0,7.5,4.05,3.0,5.0,6.0,5.0,7.0,5.5,4.0,6.0,0.0,0.0,0.0,,,,
,Alchemilla acutiloba/glaucescens/vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpiene vrouwenmantel,Alchemilla alpina,,zon,droog / vochtig,,8.6,7.0,9.0,4.666666666666667,3.0,5.0,2.1,2.0,3.0,2.0,1.0,3.0,3.2,2.0,6.0,0.0,0.0,0.0,,,,
,Alchemilla conjuncta,,zon,vochtig,,8.0,8.0,8.0,5.0,5.0,5.0,2.3333333333333335,2.0,3.0,2.0,2.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,,,,
Fijnstengelige vrouwenmantel,Alchemilla filicaulis,ja,zon,vochtig / nat / zeer nat,,7.5,7.0,8.0,7.0,6.0,8.0,2.6666666666666665,2.0,3.0,4.0,3.0,5.0,5.666666666666667,4.0,8.0,0.0,0.0,0.0,,,,
Kale vrouwenmantel,Alchemilla glabra,ja,halfschaduw / zon,vochtig / nat / zeer nat,,6.583333333333333,5.5,8.0,6.333333333333333,5.0,8.0,3.625,3.0,4.0,5.0,4.0,6.0,5.0,3.0,6.0,0.0,0.0,0.0,,,,
Blauwgroene vrouwenmantel,Alchemilla glaucescens,,zon,droog / vochtig,,7.625,7.0,9.0,4.972222222222222,4.0,6.0,3.78125,2.0,6.0,3.4285714285714284,2.0,5.0,4.0,2.0,7.0,0.0,0.0,0.0,,,,
Slanke vrouwenmantel,Alchemilla micans,ja,zon,vochtig / nat,,7.0,7.0,7.0,5.8,5.0,7.0,3.8,3.0,4.0,5.333333333333333,5.0,6.0,5.666666666666667,5.0,7.0,0.0,0.0,0.0,,,,
